id,imageSku,category,gender,price,desc
DB113,DB113,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB114,DB114,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB115,DB115,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB116,DB116,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB117,DB117,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB119,DB119,WATCHES,WOMEN,100,Alloy Case ; SS Chain ; Round shape ; Butterfly Lock ; Rose Gold
DB123,DB123,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB131,DB131,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB135,DB135,WATCHES,WOMEN,485,Brass Case ; Brass Chain ; Round shape ; IP Plating ; Rose Gold
DB191,DB191,WATCHES,WOMEN,385,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
DB194,DB194,WATCHES,WOMEN,385,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
DB200,DB200,WATCHES,WOMEN,255,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB204,DB204,WATCHES,WOMEN,255,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB207,DB207,WATCHES,WOMEN,410,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; IPS
DB210,DB210,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Gold
DB216,DB216,WATCHES,WOMEN,490,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB221,DB221,WATCHES,WOMEN,410,Alloy Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB227,DB227,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Round shape ; IP Plating ; Gold
DB231,DB231,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Rose Gold
DB234,DB234,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Rose Gold
DB243,DB243,WATCHES,WOMEN,390,Brass Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB273,DB273,WATCHES,WOMEN,360,Alloy Case ; Alloy Chain ; Round shape ; IP Plating ; Rose Gold
DB276,DB276,WATCHES,WOMEN,360,Alloy Case ; Alloy Chain ; Round shape ; IP Plating ; Rose Gold
DB277,DB277,WATCHES,WOMEN,440,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB281,DB281,WATCHES,WOMEN,330,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB287,DB287,WATCHES,WOMEN,340,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB292,DB292,WATCHES,WOMEN,280,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Black
DB297,DB297,WATCHES,WOMEN,380,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB321,DB321,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB325,DB325,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB501,DB501,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DBS21,DBS21,WATCHES,WOMEN,450,Brass Case ; SS Chain ; Designer Dial ; IP Plating ; Rose Gold
