id,category,gender,price,desc
RD-114-BL,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Blue
RD-115-GR,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Green
RD-116-BK,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Silver
RD-118-WH,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
RD-121-GRY,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
RD-125-GRY,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
RD-132-GR,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Silver
RD-133-BL,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Silver
RD-136-BK,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
RD-137-WH,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
RD-128-BL,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Silver
RD-129-GR,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
RD-130-GR,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
RD-134-GRY,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
RD-135-BK,WATCHES,MEN,275,Alloy Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
WRG495GR,WATCHES,MEN,590,Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold
WRG495RG,WATCHES,MEN,590,Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold
WRG495WH,WATCHES,MEN,590,Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; Rose Gold
WRG0496BK,WATCHES,MEN,590,Brass Case ; SS Chain ; Shaffer Patern ; IP Plating ; Black
WRG0421,WATCHES,MEN,390,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
WRG0422,WATCHES,MEN,390,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
WRG0423,WATCHES,MEN,390,Alloy Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
WRG48BL,WATCHES,MEN,295,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
WRG0425,WATCHES,MEN,295,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
WRG0433,WATCHES,MEN,295,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Black
WRG0438,WATCHES,MEN,295,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Black
WRG0447,WATCHES,MEN,295,Alloy Case ; SS Chain ; Solid Chain ; IP Plating ; IPS
WRG0448,WATCHES,MEN,295,Alloy Case ; SS Chain ; Solid Chain ; IP Plating ; IPS
WRG0469,WATCHES,MEN,295,Alloy Case ; SS Chain ; Solid Chain ; IP Plating ; IPS
WRG0470,WATCHES,MEN,295,Alloy Case ; SS Chain ; Solid Chain ; IP Plating ; IPS
WRG040A,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Black
WRG040C,WATCHES,MEN,325,Brass Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
WRG045C,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Black
WRG045D,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Black
WRG041E,WATCHES,MEN,445,Brass Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
WRG041F,WATCHES,MEN,445,Brass Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
WRG041H,WATCHES,MEN,495,Brass Case ; SS Chain ; Lobor Lock ; IP Plating ; Black
WRG41BL,WATCHES,MEN,445,Brass Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
WRG041A,WATCHES,MEN,325,Brass Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
WRG041B,WATCHES,MEN,445,Brass Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
WRG041C,WATCHES,MEN,325,Brass Case ; Silicon Band ; Designer Dial ; IP Plating ; Black
WRG041D,WATCHES,MEN,445,Brass Case ; SS Chain ; Lobor Lock ; IP Plating ; IPS
WRG042A,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
WRG042B,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
WRG042C,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
WRG042D,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
WRG042E,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
WRG042F,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
WRG042G,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
WRG042H,WATCHES,MEN,345,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Silver
