id,category,gender,price,desc
DB-117-BK,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-117-GD,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-117-RG,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-119-BK,WATCHES,WOMEN,100,Alloy Case ; SS Chain ; Round shape ; Butterfly Lock ; Rose Gold
DB-120-WH,WATCHES,WOMEN,100,Alloy Case ; SS Chain ; Round shape ; Butterfly Lock ; Rose Gold
DB-121-GR,WATCHES,WOMEN,100,Alloy Case ; SS Chain ; Round shape ; Butterfly Lock ; Rose Gold
DB-122-RG,WATCHES,WOMEN,100,Alloy Case ; SS Chain ; Round shape ; Butterfly Lock ; Rose Gold
123-RG-SL,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
125-RG-BL,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
127-RG-BK,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
129-RG-BL,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
131-BK,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
132-PK,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
133-SL,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
172-RG,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
173-RG,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
174-RG,WATCHES,WOMEN,275,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
135-RG,WATCHES,WOMEN,485,Brass Case ; Brass Chain ; Round shape ; IP Plating ; Rose Gold
179-RG,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
300-RG,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
301-RG,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
323-RG,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
191-SLWH,WATCHES,WOMEN,385,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
192-SLBK,WATCHES,WOMEN,385,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
193-SLBL,WATCHES,WOMEN,385,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
194-SLPK,WATCHES,WOMEN,385,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
195-SLWH,WATCHES,WOMEN,385,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
196-SLGR,WATCHES,WOMEN,385,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
197-SLSL,WATCHES,WOMEN,385,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
198-SLBL,WATCHES,WOMEN,385,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
199-SLGD,WATCHES,WOMEN,345,Brass Case ; Brass Chain ; Designer Dial ; IP Plating ; IPS
DB-200-PR,WATCHES,WOMEN,255,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-201-PK,WATCHES,WOMEN,255,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-202-WH,WATCHES,WOMEN,255,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-203-BL,WATCHES,WOMEN,255,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-204-GR,WATCHES,WOMEN,255,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-205-BK,WATCHES,WOMEN,255,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-206-OW,WATCHES,WOMEN,255,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-207-BL,WATCHES,WOMEN,410,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; IPS
DB-208-BK,WATCHES,WOMEN,410,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; IPS
DB-209-SL,WATCHES,WOMEN,410,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; IPS
DB-210-GD,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Gold
DB-211-WH,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Gold
DB-212-BK,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Gold
DB-213-GD,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Two Tone
DB-214-WH,WATCHES,WOMEN,475,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Two Tone
DB-215-GR,WATCHES,WOMEN,490,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-216-BL,WATCHES,WOMEN,490,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-217-WH,WATCHES,WOMEN,490,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-218-BR,WATCHES,WOMEN,490,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-119-RG,WATCHES,WOMEN,490,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-220-RG,WATCHES,WOMEN,490,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-221-SL,WATCHES,WOMEN,410,Alloy Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-222-SL,WATCHES,WOMEN,410,Alloy Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-223-SL,WATCHES,WOMEN,410,Alloy Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-224-SL,WATCHES,WOMEN,410,Alloy Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-225-SL,WATCHES,WOMEN,410,Alloy Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-226-SL,WATCHES,WOMEN,410,Alloy Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-227-GD,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Round shape ; IP Plating ; Gold
DB-228-GD,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Round shape ; IP Plating ; Gold
DB-229-GD,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Round shape ; IP Plating ; Gold
DB-237-RG,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Rose Gold
DB-242-BK,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Black
DB-231-RG,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Rose Gold
DB-232-RG,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Rose Gold
DB-233-RG,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Rose Gold
DB-241-BK,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Black
DB-234-RG,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Rose Gold
DB-235-RG,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Rose Gold
DB-236-BK,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Rose Gold
DB-240-BK,WATCHES,WOMEN,460,Brass Case ; SS Chain ; Round shape ; IP Plating ; Black
DB-243-GR,WATCHES,WOMEN,390,Brass Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-244-PR,WATCHES,WOMEN,390,Brass Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-245-PK,WATCHES,WOMEN,390,Brass Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-246-WH,WATCHES,WOMEN,390,Brass Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-247-BL,WATCHES,WOMEN,390,Brass Case ; SS Chain ; Round shape ; IP Plating ; IPS
DB-273-RG,WATCHES,WOMEN,360,Alloy Case ; Alloy Chain ; Round shape ; IP Plating ; Rose Gold
DB-274-RG,WATCHES,WOMEN,360,Alloy Case ; Alloy Chain ; Round shape ; IP Plating ; Rose Gold
DB-275-RG,WATCHES,WOMEN,360,Alloy Case ; Alloy Chain ; Round shape ; IP Plating ; Rose Gold
DB-276-RG,WATCHES,WOMEN,360,Alloy Case ; Alloy Chain ; Round shape ; IP Plating ; Rose Gold
DB2494BL,WATCHES,WOMEN,360,Alloy Case ; Alloy Chain ; Round shape ; Dummy Multi Dial ; Rose Gold
DB2494GR,WATCHES,WOMEN,360,Alloy Case ; Alloy Chain ; Round shape ; Dummy Multi Dial ; Rose Gold
DB2494PK,WATCHES,WOMEN,360,Alloy Case ; Alloy Chain ; Round shape ; Dummy Multi Dial ; Rose Gold
DB-277-RG,WATCHES,WOMEN,440,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-278-RG,WATCHES,WOMEN,440,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-279-RG,WATCHES,WOMEN,440,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-280-RG,WATCHES,WOMEN,440,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-281-BR,WATCHES,WOMEN,330,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-282-WH,WATCHES,WOMEN,330,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-283-CM,WATCHES,WOMEN,330,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-284-CM,WATCHES,WOMEN,330,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-285-CM,WATCHES,WOMEN,330,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-286-BR,WATCHES,WOMEN,340,Alloy Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-287-BR,WATCHES,WOMEN,340,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
